iter	Logloss
0	0.649994474
1	0.6194068946
2	0.5793386119
3	0.5610040085
4	0.5298501791
5	0.5054347753
6	0.4901400577
7	0.4802761051
8	0.4718792934
9	0.4626807814
10	0.4458844814
11	0.4343597238
12	0.4268407286
13	0.4162904332
14	0.4098199925
15	0.4001480884
16	0.3956650141
17	0.3865512176
18	0.3836215554
19	0.3803484289
20	0.373331344
21	0.3707394247
22	0.3648898497
23	0.3600799945
24	0.3548781634
25	0.3478910008
26	0.3459059237
27	0.3443525629
28	0.3430518976
29	0.3420428058
30	0.3355708108
31	0.3329793574
32	0.3306165269
33	0.3290497469
34	0.3263328809
35	0.3247287887
36	0.3233021619
37	0.3222284614
38	0.3219646644
39	0.3212154229
40	0.3201858433
41	0.3186639013
42	0.3183575333
43	0.3181811085
44	0.3175757887
45	0.316566703
46	0.315958742
47	0.315605602
48	0.3147941208
49	0.3136157207
50	0.3135141778
51	0.3123157286
52	0.3118402633
53	0.3111218402
54	0.3104219622
55	0.3103533264
56	0.3076478255
57	0.3071251881
58	0.3067877692
59	0.3062323786
60	0.3061838911
61	0.3040512267
62	0.3038732628
63	0.3038321754
64	0.3037903128
65	0.3016896852
66	0.3012850258
67	0.3012474424
68	0.3008336915
69	0.2992376734
70	0.2976314303
71	0.297521116
72	0.2964924024
73	0.2963468416
74	0.2959419425
75	0.2955870898
76	0.2942427513
77	0.2941364653
78	0.2941111424
79	0.2940320018
80	0.2940169515
81	0.2939534357
82	0.29344681
83	0.2930532795
84	0.2927881614
85	0.2912243312
86	0.2880593641
87	0.2856947528
88	0.2856806354
89	0.2856616487
90	0.2849981453
91	0.2849875557
92	0.2849022504
93	0.2840596949
94	0.2823609564
95	0.2822595799
96	0.2808814655
97	0.2805751436
98	0.2801491928
99	0.2798440567
100	0.279452213
101	0.278759208
102	0.2784607919
103	0.2783666739
104	0.2777118587
105	0.2776511222
106	0.277636794
107	0.277221623
108	0.2770447242
109	0.2769221715
110	0.2754010688
111	0.2752952026
112	0.2748860653
113	0.2748492719
114	0.2746947615
115	0.2742579935
116	0.2737683534
117	0.2728046232
118	0.2724280739
119	0.2720648312
120	0.2713663398
121	0.271351967
122	0.2708481421
123	0.27033167
124	0.2703160889
125	0.2694690361
126	0.2689462948
127	0.2685023939
128	0.2681207994
129	0.2675881432
130	0.2670752826
131	0.2667978794
132	0.2667911748
133	0.266350388
134	0.2660498252
135	0.2651126228
136	0.2644509607
137	0.2644135021
138	0.263832327
139	0.2638027337
140	0.2636736083
141	0.2636672406
142	0.263428614
143	0.2632628126
144	0.2632264009
145	0.2632263648
146	0.2632263624
147	0.2632100235
148	0.2631259283
149	0.2631092488
150	0.263079339
151	0.2625738575
152	0.2625738572
153	0.2623259596
154	0.2619482486
155	0.2619337184
156	0.261511489
157	0.2609001463
158	0.2608966453
159	0.2608493083
160	0.2603265141
161	0.2601043701
162	0.2596261942
163	0.2595532009
164	0.2593708844
165	0.2591236364
166	0.2591130472
167	0.2590670378
168	0.2581709891
169	0.2581195245
170	0.2579151362
171	0.2575822692
172	0.256738238
173	0.256116745
174	0.2559395279
175	0.255896241
176	0.2549891758
177	0.2549242362
178	0.2549112066
179	0.254384323
180	0.2539051421
181	0.2536911971
182	0.2536181206
183	0.2534750877
184	0.2534750227
185	0.2532061075
186	0.2531979872
187	0.2531801284
188	0.25308718
189	0.253087179
190	0.2526692409
191	0.2525898946
192	0.2521483188
193	0.2517033145
194	0.2510038093
195	0.2509020429
196	0.2491446226
197	0.2488325725
198	0.2488247354
199	0.2481910549
200	0.2473579598
201	0.246960785
202	0.2463562048
203	0.2463558055
204	0.2460563267
205	0.2456937979
206	0.2453762036
207	0.2449424047
208	0.2434484668
209	0.2428569167
210	0.2420455831
211	0.241658124
212	0.2416579051
213	0.2408848913
214	0.2408052388
215	0.2399104667
216	0.2391881171
217	0.2388040794
218	0.2384162523
219	0.2380009141
220	0.2379757961
221	0.2375789848
222	0.2370394846
223	0.2369368219
224	0.2363568654
225	0.2359571202
226	0.235942459
227	0.23519182
228	0.2344782026
229	0.2334626767
230	0.2334392372
231	0.2330138369
232	0.2322735023
233	0.2321843298
234	0.232044276
235	0.23148247
236	0.2307543895
237	0.2304625221
238	0.2291077532
239	0.2288643925
240	0.2287561231
241	0.2285218067
242	0.2276631715
243	0.2275889617
244	0.2270358542
245	0.2265746253
246	0.2264379845
247	0.2256943335
248	0.2251507863
249	0.2243433328
250	0.2237838674
251	0.2228780706
252	0.2223723155
253	0.2223599247
254	0.2221733156
255	0.2219034115
256	0.2216293076
257	0.2215529272
258	0.2207857384
259	0.2202910957
260	0.2199999597
261	0.2197289935
262	0.2194969439
263	0.2191255071
264	0.2189337007
265	0.2189315801
266	0.2186863728
267	0.2178436966
268	0.2175296
269	0.217264317
270	0.2171439201
271	0.2169299523
272	0.2168938573
273	0.2163441239
274	0.2161066382
275	0.2155455699
276	0.2153479922
277	0.2153405927
278	0.2151232649
279	0.2148906028
280	0.2143088005
281	0.2139555855
282	0.2138912899
283	0.2137191235
284	0.2133573772
285	0.212518637
286	0.2124542916
287	0.2123822937
288	0.2123424146
289	0.2121640882
290	0.2120354602
291	0.211356605
292	0.2113491491
293	0.2108702962
294	0.2102757178
295	0.2098990859
296	0.20958624
297	0.2094214605
298	0.2091346177
299	0.2086189839
