iter	Passed	Remaining
0	37	11239
1	76	11429
2	92	9189
3	114	8467
4	142	8400
5	182	8932
6	218	9130
7	246	9013
8	265	8572
9	283	8230
10	297	7823
11	329	7919
12	362	8005
13	385	7875
14	420	7981
15	454	8061
16	491	8184
17	530	8310
18	554	8193
19	568	7964
20	583	7754
21	597	7547
22	623	7509
23	647	7449
24	690	7590
25	736	7761
26	782	7914
27	805	7826
28	834	7794
29	848	7635
30	882	7653
31	898	7524
32	920	7444
33	957	7488
34	1001	7585
35	1046	7676
36	1114	7922
37	1163	8020
38	1172	7844
39	1187	7721
40	1232	7783
41	1276	7841
42	1303	7790
43	1314	7649
44	1332	7548
45	1358	7498
46	1394	7508
47	1416	7439
48	1466	7510
49	1508	7540
50	1516	7404
51	1557	7428
52	1598	7449
53	1614	7353
54	1651	7356
55	1660	7233
56	1696	7233
57	1737	7250
58	1774	7247
59	1827	7310
60	1840	7209
61	1887	7246
62	1928	7254
63	1938	7148
64	1959	7084
65	2000	7093
66	2034	7073
67	2050	6995
68	2093	7009
69	2149	7062
70	2189	7060
71	2203	6976
72	2241	6970
73	2279	6962
74	2318	6954
75	2355	6941
76	2392	6928
77	2420	6888
78	2436	6816
79	2452	6745
80	2461	6655
81	2503	6656
82	2542	6647
83	2581	6637
84	2595	6563
85	2650	6594
86	2688	6582
87	2727	6570
88	2736	6486
89	2750	6417
90	2789	6407
91	2798	6328
92	2820	6277
93	2858	6263
94	2898	6254
95	2924	6215
96	2966	6207
97	3003	6189
98	3034	6160
99	3071	6143
100	3123	6153
101	3174	6163
102	3238	6194
103	3272	6166
104	3309	6147
105	3330	6094
106	3354	6050
107	3388	6023
108	3423	5998
109	3466	5987
110	3503	5965
111	3537	5938
112	3569	5907
113	3594	5865
114	3633	5844
115	3672	5825
116	3711	5805
117	3762	5803
118	3802	5784
119	3842	5764
120	3864	5716
121	3890	5676
122	3919	5640
123	3950	5607
124	3977	5568
125	4018	5549
126	4059	5529
127	4099	5509
128	4151	5502
129	4205	5499
130	4253	5487
131	4293	5464
132	4316	5420
133	4355	5395
134	4394	5371
135	4431	5343
136	4473	5322
137	4498	5281
138	4535	5253
139	4556	5207
140	4592	5179
141	4617	5137
142	4653	5109
143	4677	5067
144	4717	5042
145	4727	4986
146	4736	4929
147	4755	4884
148	4796	4861
149	4816	4816
150	4841	4777
151	4877	4748
152	4890	4698
153	4926	4670
154	4960	4640
155	4983	4600
156	5019	4572
157	5069	4555
158	5086	4510
159	5128	4487
160	5162	4457
161	5212	4440
162	5255	4416
163	5301	4396
164	5345	4373
165	5379	4342
166	5398	4299
167	5428	4265
168	5469	4239
169	5511	4214
170	5551	4188
171	5594	4163
172	5633	4135
173	5677	4111
174	5720	4086
175	5760	4058
176	5785	4020
177	5801	3976
178	5817	3932
179	5841	3894
180	5881	3867
181	5920	3838
182	5957	3809
183	5998	3781
184	6008	3735
185	6050	3708
186	6066	3665
187	6087	3626
188	6128	3599
189	6148	3559
190	6193	3534
191	6234	3506
192	6276	3479
193	6308	3446
194	6346	3417
195	6381	3386
196	6420	3356
197	6457	3326
198	6477	3287
199	6504	3252
200	6541	3221
201	6576	3190
202	6612	3159
203	6621	3116
204	6667	3089
205	6711	3062
206	6761	3037
207	6804	3009
208	6846	2981
209	6884	2950
210	6924	2920
211	6960	2889
212	6978	2850
213	7016	2819
214	7052	2788
215	7086	2755
216	7122	2724
217	7158	2692
218	7191	2659
219	7227	2628
220	7263	2596
221	7301	2565
222	7342	2535
223	7381	2504
224	7420	2473
225	7457	2441
226	7482	2406
227	7512	2372
228	7549	2340
229	7587	2309
230	7615	2274
231	7652	2242
232	7690	2211
233	7726	2179
234	7781	2152
235	7822	2121
236	7864	2090
237	7900	2058
238	7939	2026
239	7979	1994
240	8017	1962
241	8054	1930
242	8092	1898
243	8131	1866
244	8168	1833
245	8206	1801
246	8248	1770
247	8288	1737
248	8330	1706
249	8369	1673
250	8405	1640
251	8443	1608
252	8482	1575
253	8530	1544
254	8577	1513
255	8623	1482
256	8691	1454
257	8737	1422
258	8783	1390
259	8832	1358
260	8881	1327
261	8931	1295
262	8980	1263
263	9023	1230
264	9057	1196
265	9091	1162
266	9127	1128
267	9161	1093
268	9195	1059
269	9231	1025
270	9265	991
271	9299	957
272	9331	922
273	9364	888
274	9399	854
275	9436	820
276	9476	786
277	9518	753
278	9555	719
279	9595	685
280	9641	651
281	9681	617
282	9722	584
283	9763	550
284	9805	516
285	9845	481
286	9883	447
287	9922	413
288	9962	379
289	10000	344
290	10035	310
291	10073	275
292	10111	241
293	10148	207
294	10184	172
295	10219	138
296	10257	103
297	10295	69
298	10329	34
299	10365	0
